,ticker_id,ticker,company_id,date_from,date_to,alias_edgar,alias_av
0,1002,CIP,107,,,,AILLL
1,1047,FSTWC,16297,,,,
2,1089,JONE,32406,,,,JEII
3,1055,ESA,22490,,,,ESOA
4,1068,DYAP,28030,,,,
5,1046,AVCA,16334,,,,DVCR
6,1009,VII,2980,,,,VI1.SG
7,558,APC,875,,,,
8,1,GOOG,18634,,12/31/15,,GOOG
9,2,GOOGL,18634,,12/31/15,,GOOGL
10,3529,PRGO,13807,11/13/13,,PRGO,PRGO
11,6849,MYL,33630,1/1/15,,MYL,MYL
12,6410,CB,5213,1/16/16,,CB,CB
13,6354,FOX,35403,10/10/18,,FOX,FOX
14,6854,FTI,34308,2/26/16,,FTI,FTI
15,5323,AGN,32483,2/20/15,,AGN,AGN
16,2046,,3994,,,,
17,2813,,8856,,,,
18,2938,,9898,,,,
19,3602,,14520,,,,
20,3692,,15011,,,,
21,4289,,25867,,,,
22,4515,,27744,,,,
23,4804,,29800,,,,
24,5049,,31325,,,,
25,5058,,31278,,,,
26,5962,,34505,,,,
27,6888,,35478,,,,
28,1027,FMBI,9214,,,FMBI,FMBI
29,1028,FBNC,9300,,,FBNC,FBNC
30,1029,FII,10460,,,FII,FII
31,1030,VGZ,10967,,,VGZ,VGZ
32,1373,MTLQQ,406,,,MTLQQ,MTLQQ
33,1377,GP,419,,,GP,GP
34,7,FOXA,20036,,,,FOXA
35,1056,GLDD,23411,,12/31/06,,GLDD
36,505,CB,132,,1/15/16,,CB
37,6,FOX,20036,,10/9/18,,FOX
38,543,CI,628,12/20/18,,,CI
39,1038,NTRI,13001,,,,NTRI
40,1074,ECOC,29477,,,,ECOC
41,1076,INTG,29627,,,,INTG
42,1079,HMTA,30037,,,,HMTA
43,1084,ISRB,31065,,,,ISRB
44,508,JPM,118,,,,JPM
45,522,MTB,363,,,,MTB
46,561,CBS,1020,,,,CBS
47,564,C,1069,,,,C
48,1378,JH,445,,,JH,JH
49,1379,HPC,454,,,HPC,HPC
50,1380,GATX,399,,,GATX,GATX
51,1381,HHS,447,,,HHS,HHS
52,1382,AJRD,416,,,AJRD,AJRD
53,1383,MTRM,396,,,MTRM,MTRM
54,1384,HSC,446,,,HSC,HSC
55,1385,HRC,458,,,HRC,HRC
56,1386,IPLPRC,505,,,IPLPRC,IPLPRC
57,1387,HUBB,466,,,HUBB,HUBB
58,1388,ADCT,567,,,ADCT,ADCT
59,1389,ION,503,,,ION,ION
60,1390,FBN,491,,,FBN,FBN
61,1391,AP,570,,,AP,AP
62,1392,LFB,556,,,LFB,LFB
